Receptor Name,Subunit Gene Name,Number of Subunits
CB1,CNR1,1
CB2,CNR2,1
5-HT3AR,HTR3A,5
GPR55,GPR55,1
TRPV1,TRPV1,4
DRD3,DRD3,1
ADORA2A,ADORA2A,1
GABA 2a1_2b2_g2,GABRA1,2
GABA 2a1_2b2_g2,GABRB2,2
GABA 2a1_2b2_g2,GABRG2,1
GABA 2a1_2b3_g2,GABRA1,2
GABA 2a1_2b3_g2,GABRB3,2
GABA 2a1_2b3_g2,GABRG2,1
GABA a1_a2_2b3_g2,GABRA1,1
GABA a1_a2_2b3_g2,GABRA2,1
GABA a1_a2_2b3_g2,GABRB3,2
GABA a1_a2_2b3_g2,GABRG2,1
GABA a1_a2_b2_b3_g2,GABRA1,1
GABA a1_a2_b2_b3_g2,GABRA2,1
GABA a1_a2_b2_b3_g2,GABRB2,1
GABA a1_a2_b2_b3_g2,GABRB3,1
GABA a1_a2_b2_b3_g2,GABRG2,1
GABA 2a3_2b3_g2,GABRA3,2
GABA 2a3_2b3_g2,GABRB3,2
GABA 2a3_2b3_g2,GABRG2,1
OR1A1,OR1A1,1
OR2J3,OR2J3,1
OR51E2,OR51E2,1
OR2W1,OR2W1,1
OR10J5,OR10J5,1
5-HT1A,HTR1A,1
5-HT6,HTR6,1
Muscle-type nAChR 2a1_b1_d1_e1,CHRNA1,2
Muscle-type nAChR 2a1_b1_d1_e1,CHRNB1,1
Muscle-type nAChR 2a1_b1_d1_e1,CHRND,1
Muscle-type nAChR 2a1_b1_d1_e1,CHRNE,1
a7 nAChR,CHRNA7,5
a3b4 nAChR,CHRNA3,2
a3b4 nAChR,CHRNB4,3
OR1A2,OR1A2,1
OR1F1,OR1F1,1
OR1Q1,OR1Q1,1
OR2T11,OR2T11,1
OR3A1,OR3A1,1
OR3A3,OR3A3,1
OR51B2,OR51B2,1
OXTR,OXTR,1
TAAR1,TAAR1,1
VN1R1,VN1R1,1