Receptor Name,protein_family,subcellular_location,expression,disease_names,pathway_names,interaction_partners,wellness_benifits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB1,Cannabinoid receptor | Short peptide receptor (family A GPCR) | Family A G protein-coupled receptor | Peptide receptor (family A GPCR) | Opioid receptor | Membrane receptor | Small molecule receptor (family A GPCR) | Lipid-like ligand receptor (family A GPCR),"Cell membrane, Membrane raft, Mitochondrion outer membrane, Cell projection, Presynapse, Plasma membrane, Actin filaments",prefrontal cortex:4427TPM; temporal lobe:3900TPM; cerebellar hemisphere:3568TPM; transformed skin fibroblast:3475TPM; frontal lobe:3439TPM,obesity;Lennox-Gastaut syndrome;epilepsy;Nausea and vomiting;cancer;Seizure;Nausea;type 2 diabetes mellitus;smoking cessation;Anorexia;hamartoma;osteoarthritis;Pain;bipolar disorder;Hepatic steatosis,G alpha (i) signalling events;Class A/1 (Rhodopsin-like receptors),GPR55;DRD2;OPRL1;OPRD1;GPR18;DRD3;DRD4;ADRA2A;ADRA2C;NPY;GABBR1;PDYN;FAAH;POMC;GRM2,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB2,Cannabinoid receptor | Family A G protein-coupled receptor | Membrane receptor | Small molecule receptor (family A GPCR) | Lipid-like ligand receptor (family A GPCR),"Cell membrane, Cell projection",mature eosinophil:10382TPM; memory B cell:6411TPM; CD38-negative naive B cell:4894TPM; class switched memory B cell:4430TPM; tonsil:1985TPM,Splenomegaly;neurodegenerative disease;neoplasm;Alzheimer disease;Alopecia-intellectual disability syndrome;Alopecia universalis;osteoarthritis;breast cancer;colitis;irritable bowel syndrome;atopic eczema;Pain;hypotrichosis simplex;hepatocellular carcinoma;Crohns disease,G alpha (i) signalling events;Class A/1 (Rhodopsin-like receptors),GPR55;OPRD1;GPR18;OPRL1;DRD2;DRD3;DRD4;HTR1A;ADRA2C;ADRA2B;GABBR1;ADRA2A;CXCL12;TMIGD3;OPRM1,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-HT3AR,Monoamine receptor | Family A G protein-coupled receptor | 5HT3 receptor | Ion channel | Small molecule receptor (family A GPCR) | Ligand-gated ion channel | Serotonin receptor | Membrane receptor,"Postsynaptic cell membrane, Cell membrane",tonsil:784TPM; lymph node:465TPM; sigmoid colon:127.5TPM; caudate nucleus:95.5TPM; minor salivary gland:87TPM,Chemotherapy-induced nausea and vomiting;post operative nausea and vomiting;Nausea;Nausea and vomiting;cancer;Vomiting;irritable bowel syndrome;major depressive disorder;gastrointestinal disease;gastroparesis;psychosis;neoplasm;generalized anxiety disorder;Pain;migraine disorder,Neurotransmitter receptors and postsynaptic signal transmission,CDC5L;HTR3D;HTR3B;HTR3E;HTR3C;HTR1A;HTR7;HTR1B;HTR2A;HTR2C;PPP2CB;PPP2CA;HTR1D;STRN3;CTTNBP2,"Memory, Mood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR55,Membrane receptor | Small molecule receptor (family A GPCR) | Family A G protein-coupled receptor | Lysophosphatidylinositol receptor | Lipid-like ligand receptor (family A GPCR),Cell membrane,"EBV-transformed lymphocyte:3474TPM; leukocyte:914TPM; tonsil:481TPM; blood:479TPM; CD8-positive, alpha-beta thymocyte:471TPM",psoriatic arthritis;psoriasis;preeclampsia;sprain;fungal infectious disease;prostate cancer;Familial prostate cancer;neoplasm;cholangiocarcinoma;atherosclerosis;Rheumatoid arthritis;hepatocellular carcinoma;Anxiety;non-small cell lung carcinoma;glioblastoma multiforme,G alpha (i) signalling events;Class A/1 (Rhodopsin-like receptors),CNR1;CNR2;HTR1A;GPR18;TMIGD3;LPAR1;ADORA1;LPAR2;DRD2;LPAR5;ADRA2B;MTNR1A;S1PR4;GPR37;ADRA2C,Anxiety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRPV1,Voltage-gated ion channel | Ion channel | Transient receptor potential channel,"Postsynaptic cell membrane, Cell projection, Cell membrane",zone of skin:810.5TPM; duodenum:797.5TPM; small intestine:536TPM; endometrium:450TPM; heart:406TPM,migraine disorder;Pain;Headache;Fever;common cold;Back pain;pharyngitis;arthritis;toothache;muscle cramp;Myalgia;Dysmenorrhea;influenza;neuropathic pain;sprain,TRP channels,TRPA1;TRPM8;CNR1;SRC;NGF;PRKCE;TAC1;CALM1;CALCA,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRD3,Small molecule receptor (family A GPCR) | Dopamine receptor | Family A G protein-coupled receptor | Monoamine receptor | Membrane receptor,Cell membrane,nucleus accumbens:122TPM; temporal lobe:48TPM; putamen:24TPM; caudate nucleus:19.5TPM; testis:14TPM,schizophrenia;Parkinson disease;major depressive disorder;bipolar disorder;schizoaffective disorder;Agitation;restless legs syndrome;psychosis;bipolar I disorder;mental or behavioural disorder;Tourette syndrome;type 2 diabetes mellitus;hypogonadism;Nausea and vomiting;post operative nausea and vomiting,G alpha (i) signalling events;Dopamine receptors,CNR1;PDYN;GRM2;POMC;CNR2;PENK;GABBR1;NPY;GNAI1;ADCY5;SST;ADCY1;GRM3;ADCY8;ADCY7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADORA2A,Family A G protein-coupled receptor | Membrane receptor | Small molecule receptor (family A GPCR) | Adenosine receptor | Nucleotide-like receptor (family A GPCR),"Cell membrane, Plasma membrane, Primary cilium, Vesicles",mature neutrophil:738TPM; common lymphoid progenitor:410TPM; bone marrow:201.5TPM; blood:178TPM; liver:165TPM,migraine disorder;Parkinson disease;paroxysmal tachycardia;Apnea;Pain;asthma;Wolff-Parkinson-White Syndrome;neurodegenerative disease;cardiovascular disease;Airway obstruction;attention deficit hyperactivity disorder;atrial fibrillation;chronic obstructive pulmonary disease;coronary artery disease;premature birth,Adenosine P1 receptors;NGF-independant TRKA activation;G alpha (s) signalling events;Surfactant metabolism,ADA;GNAL;GNG2;GNG2;ADORA2A;GNAS;ADORA1;GNB1;ADORA2B;RPIA;ADO;ENTPD1;NT5E,Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABAA 2a1_2b2_g2,Ion channel | GABA-A receptor | Ligand-gated ion channel,"Postsynaptic cell membrane, Cell membrane, Cytoplasmic vesicle membrane",prefrontal cortex:8640TPM; cerebellar hemisphere:8055TPM; frontal lobe:6207.5TPM; cerebellum:4265TPM; Brodmann (1909) area 9:4186TPM,developmental and epileptic encephalopathy;juvenile myoclonic epilepsy;epilepsy;Seizure;insomnia;panic disorder;Agitation;anxiety disorder;Anxiety;migraine disorder;alcohol dependence;major depressive disorder;Pain;generalised epilepsy;childhood absence epilepsy;genetic developmental and epileptic encephalopathy;Seizure;Intellectual disability;insomnia;epilepsy;migraine disorder;alcohol dependence;Pain;postpartum depression;Anxiety;depressive disorder;Lennox-Gastaut syndrome;genetic disorder;anxiety disorder;Focal-onset seizure;Generalized epilepsy with febrile seizures-plus;childhood absence epilepsy;epilepsy;Seizure;genetic developmental and epileptic encephalopathy;Lennox-Gastaut syndrome;insomnia;panic disorder;Agitation;anxiety disorder;migraine disorder;Anxiety;alcohol dependence;Pain;generalized anxiety disorder;developmental and epileptic encephalopathy;juvenile myoclonic epilepsy;epilepsy;Seizure;insomnia;panic disorder;Agitation;anxiety disorder;Anxiety;migraine disorder;alcohol dependence;major depressive disorder;Pain;generalised epilepsy;childhood absence epilepsy;developmental and epileptic encephalopathy;Lennox-Gastaut syndrome;epilepsy;genetic developmental and epileptic encephalopathy;childhood absence epilepsy;Seizure;migraine disorder;alcohol dependence;Pain;Epileptic encephalopathy;postpartum depression;insomnia;Anxiety;depressive disorder;genetic disorder;Generalized epilepsy with febrile seizures-plus;childhood absence epilepsy;epilepsy;Seizure;genetic developmental and epileptic encephalopathy;Lennox-Gastaut syndrome;insomnia;panic disorder;Agitation;anxiety disorder;migraine disorder;Anxiety;alcohol dependence;Pain;generalized anxiety disorder,GABA receptor activation;Signaling by ERBB4,GABRG2;GABRB2;GABRB3;GABRB1;GPHN;GABRA6;GABRA4;GABRQ;GABRA5;UBQLN1;GABRA3;DNM1;GABARAP;NPTN;GABRA2,Sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABBAA 2a2_2b3_g2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABAA a1_a2_2b3_g2,Ion channel | GABA-A receptor | Ligand-gated ion channel,"Postsynaptic cell membrane, Cytoplasmic vesicle membrane",prefrontal cortex:8640TPM; cerebellar hemisphere:8055TPM; frontal lobe:6207.5TPM; cerebellum:4265TPM; Brodmann (1909) area 9:4186TPM,"developmental and epileptic encephalopathy;juvenile myoclonic epilepsy;epilepsy;Seizure;insomnia;panic disorder;Agitation;anxiety disorder;Anxiety;migraine disorder;alcohol dependence;major depressive disorder;Pain;generalised epilepsy;childhood absence epilepsy;genetic developmental and epileptic encephalopathy;generalized anxiety disorder;postpartum depression;Lennox-Gastaut syndrome;status epilepticus;Epileptic encephalopathy;depressive disorder;genetic disorder;Generalized epilepsy with febrile seizures-plus
",GABA receptor activation;Signaling by ERBB4,"GABRG2;GABRB2;GABRB3;GABRB1;GPHN;GABRA6;GABRA4;GABRQ;GABRA5;UBQLN1;GABRA3;DNM1;GABARAP;NPTN;GABRA2;ARHGEF9;GABRA1;GABRG3;GABBR2;GABRE
","Anxiety, Muscle Relaxation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABA A a1_a2_b2_b3_g2,Ion channel | GABA-A receptor | Ligand-gated ion channel,"Postsynaptic cell membrane, Cytoplasmic vesicle membrane",prefrontal cortex:8640TPM; cerebellar hemisphere:8055TPM; frontal lobe:6207.5TPM; cerebellum:4265TPM; Brodmann (1909) area 9:4186TPM,"developmental and epileptic encephalopathy;juvenile myoclonic epilepsy;epilepsy;Seizure;insomnia;panic disorder;Agitation;anxiety disorder;Anxiety;migraine disorder;alcohol dependence;major depressive disorder;Pain;generalised epilepsy;childhood absence epilepsy;genetic developmental and epileptic encephalopathy;generalized anxiety disorder;postpartum depression;Lennox-Gastaut syndrome;status epilepticus;Intellectual disability;depressive disorder;genetic disorder;Focal-onset seizure;Epileptic encephalopathy;Generalized epilepsy with febrile seizures-plus
",GABA receptor activation;Signaling by ERBB4,"GABRG2;GABRB2;GABRB3;GABRB1;GPHN;GABRA6;GABRA4;GABRQ;GABRA5;UBQLN1;GABRA3;DNM1;GABARAP;NPTN;GABRA2;ARHGEF9;GABRA1;GABRG3;GABBR2;TRAK2;GABRG1;GABRE
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABAA 2a3_2b3_g2,Ion channel | GABA-A receptor | Ligand-gated ion channel,Postsynaptic cell membrane; Cell membrane,,"developmental and epileptic encephalopathy;Lennox-Gastaut syndrome;epilepsy;genetic developmental and epileptic encephalopathy;childhood absence epilepsy;Seizure;migraine disorder;alcohol dependence;Pain;Epileptic encephalopathy;postpartum depression;insomnia;Anxiety;depressive disorder;genetic disorder;Generalized epilepsy with febrile seizures-plus;panic disorder;Agitation;anxiety disorder;generalized anxiety disorder
",GABA receptor activation;Signaling by ERBB4,"GABRG2;GABRA5;GABRA1;GABRA6;GABRA3;GABRA4;GABRA2;GABRG3;ARHGEF9;GABRB2;GABRQ;GABRB1;NPTN;GABBR2;GABRE;GABRB3;GPHN;GABARAP
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR1A1,"Olfactory receptors, family 1",Cell membrane,,gastric carcinoma;Anosmia;neoplasm;nail-patella syndrome;colorectal cancer;preeclampsia;colorectal carcinoma;bipolar disorder,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,ACTA2;EFHD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR2J3,"Olfactory receptors, family 2",Cell membrane,testis:6TPM; endocervix:2TPM; macrophage:0TPM; memory B cell:0TPM; regulatory T cell:0TPM,breast carcinoma;non-small cell lung carcinoma;gastric carcinoma;diabetes mellitus;lung cancer;neoplasm;Parkinson disease,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,RTP2;RTP1;REEP1;GNAL;RTP5;REEP5;RTP3;RTP4;GNGT1;REEP4;REEP6;REEP3;GNB1;REEP2;GNG13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR51E2,Family A G protein-coupled receptor | Membrane receptor,"Cell membrane, Early endosome membrane",tibial artery:1091TPM; prostate gland:633TPM; sigmoid colon:482TPM; placenta:363TPM; transverse colon:264TPM,neurodegenerative disease;ovarian neoplasm;prostate cancer;posterior cortical atrophy;poisoning;cancer;essential hypertension;neoplasm;breast carcinoma;prostate intraepithelial neoplasia;butyrylcholinesterase deficiency;hypertension;colorectal cancer;inherited hemoglobinopathy;colorectal carcinoma,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,RTP2;RTP1;GNAL;REEP1;GNGT1;RTP3;REEP3;REEP5;GNB1;RTP4;REEP4;REEP2;RTP5;REEP6;AMACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR2W1,"Olfactory receptors, family 2",Cell membrane,testis:5TPM; macrophage:0TPM; memory B cell:0TPM; regulatory T cell:0TPM; heart:0TPM,gastric carcinoma;Burkitts lymphoma;lung cancer,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,GNAL;RTP1;GNGT1;GNB1;REEP4;REEP1;REEP6;RTP5;RTP2;RTP4;RTP3;REEP3;REEP5;REEP2;BPIFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
