Receptor Name,protein_family,subcellular_location,expression,disease_names,pathway_names,interaction_partners,wellness_benifits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR10J5,"Olfactory receptors, family 10",Cell membrane,,inherited retinal dystrophy;cervical carcinoma;Hepatic steatosis;exostosis;asthma;fatty liver disease;Muscular dystrophy;muscular dystrophy;non-alcoholic fatty liver disease;diabetes mellitus;Glucose intolerance;aneurysm;sarcopenia,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,RTP1;GNAL;RTP2;RTP3;REEP1;RTP4;REEP4;REEP2;REEP3;GNGT1;REEP5;RTP5;GNB1;REEP6;GRK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-HT1A,Monoamine receptor | Family A G protein-coupled receptor | Small molecule receptor (family A GPCR) | Serotonin receptor | Membrane receptor,"Cell membrane, Cell projection",temporal lobe:1939TPM; frontal lobe:514TPM; prefrontal cortex:315TPM; Brodmann (1909) area 9:75TPM; cerebral cortex:72TPM,major depressive disorder;schizophrenia;bipolar disorder;anxiety disorder;autism;schizoaffective disorder;depressive disorder;bipolar I disorder;Agitation;psychosis;Tourette syndrome;Anxiety;generalized anxiety disorder;post operative nausea and vomiting;menstrual cycle-dependent periodic fever,Serotonin receptors,POMC;GABBR1;SLC6A4;GRM2;GABBR2;NPY;GNAI3;PDYN;ADCY1;GRM3;GPR55;GAL;GRM4;HTR1B;SST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-HT6,Monoamine receptor | Family A G protein-coupled receptor | Small molecule receptor (family A GPCR) | Serotonin receptor | Membrane receptor,Cell membrane,temporal lobe:378TPM; frontal lobe:204.5TPM; nucleus accumbens:180TPM; putamen:129TPM; caudate nucleus:115TPM,post operative nausea and vomiting;Alzheimer disease;psychosis;Nausea and vomiting;obesity;circadian rhythm;schizophrenia;aortic disease;Dementia;depressive disorder;Anxiety;X-linked agammaglobulinemia;bipolar I disorder;Cognitive impairment;breast cancer,G alpha (s) signalling events;Serotonin receptors,ADCY3;GNAS;HTR4;ADCY7;ADCY4;GIPR;HTR7;GNB5;GNG13;GNG3;GNG7;GNB2;GNB3;GNB4;GNB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscle-type nAChR 2a1_b1_d1_e1,Ion channel | Nicotinic acetylcholine receptor alpha subunit | Ligand-gated ion channel | Nicotinic acetylcholine receptor epsilon subunit | Nicotinic acetylcholine receptor beta subunit | Nicotinic acetylcholine receptor | Ion channel | Nicotinic acetylcholine receptor alpha subunit | Nicotinic acetylcholine receptor epsilon subunit | Ligand-gated ion channel | Nicotinic acetylcholine receptor | Nicotinic acetylcholine receptor delta subunit | Ion channel | Nicotinic acetylcholine receptor alpha subunit | Nicotinic acetylcholine receptor epsilon subunit | Ligand-gated ion channel | Nicotinic acetylcholine receptor | Nicotinic acetylcholine receptor delta subunit | Ion channel | Nicotinic acetylcholine receptor | Nicotinic acetylcholine receptor alpha subunit | Nicotinic acetylcholine receptor gamma subunit | Ligand-gated ion channel | Nicotinic acetylcholine receptor beta subunit,Postsynaptic cell membrane,skeletal muscle tissue:2880.5TPM; pituitary gland:182TPM; hippocampus proper:174TPM; tonsil:125TPM; brain:95TPM,"Congenital myasthenic syndromes;Postsynaptic congenital myasthenic syndromes;lethal multiple pterygium syndrome;congenital myasthenic syndrome;postsynaptic congenital myasthenic syndrome;Seizure;centronuclear myopathy;congenital myopathy;genetic disorder;Autism;autism;Back pain;acute respiratory distress syndrome;Myalgia;neurodegenerative disease;pancreatic carcinoma;stroke;osteoarthritis;diverticular disease;Abnormality of refraction;medical procedure;Muscle weakness;Breathing dysregulation;ptosis;Dyspnea;arthrogryposis multiplex congenita;fetal akinesia deformation sequence 1;fetal akinesia deformation sequence;Bernard-Soulier syndrome;platelet-type von Willebrand disease;Optic neuropathy;Abnormality of the musculature;Thrombocytopenia;Macrothrombocytopenia;Tip-toe gait;Abnormal bleeding;congenital myasthenic syndrome 4
",Highly calcium permeable nicotinic acetylcholine receptors;Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,"RAPSN;AGRN;CHRND;CHRNA7;ITGB1;UTRN;DMD;CHRM1;LAMB2;CHRNA9;LAMA2;ACTA1;CHRNB4;CHRNB2;MUSK;SRC;PTK2B;PTK2;ACHE;CHRNA2;CHRNA4;CHRNA3;CHRNA1;CHRNB1;DOK7;COL4A3;COLQ;ALPI;DIPK1A;SEC11C;C1orf54;PXYLP1;LTBP1;C1QTNF9B;CLGN;ITGA6;LGALS1;CNNM1;TMUB2;TPST2;TMEM131;DAG1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7 nAChR,Ion channel | Nicotinic acetylcholine receptor alpha subunit | Ligand-gated ion channel | Nicotinic acetylcholine receptor beta subunit | Nicotinic acetylcholine receptor,Postsynaptic cell membrane,temporal lobe:363TPM; small intestine:239TPM; duodenum:151.5TPM; bone marrow:111TPM; frontal lobe:101TPM,Alzheimer disease;neurodegenerative disease;Dementia;Abnormality of limbs;Increased total eosinophil count;male reproductive organ cancer;kidney disease;preeclampsia;Parkinson disease;multiple sclerosis;lysosomal storage disease;schizophrenia;chromosome 15q13.3 microdeletion syndrome;15q11q13 microduplication syndrome;Cognitive impairment,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,CHRNB2;CHRNB4;CHRNA4;CHRNA2;CHRNA6;CHRNA3;CHRNA5;CHRNB3;CHRNA1;CHRNA9;SLURP1;JAK2;LYNX1-SLURP2;CHRNB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3b4 nAChR,Ion channel | Ligand-gated ion channel | Nicotinic acetylcholine receptor | Nicotinic acetylcholine receptor alpha subunit | Nicotinic acetylcholine receptor beta subunit | Nicotinic acetylcholine receptor epsilon subunit,"Synaptic cell membrane, Endoplasmic reticulum, Golgi apparatus, Nuclear speckles, Plasma membrane, Basal body, Cytosol, Primary cilium tip, Primary cilium transition zone, Cell junctions","CD3-positive, CD4-positive, CD8-positive, double positive thymocyte: 3086 / 113 TPM; brain: 1078.5 TPM; sigmoid colon: 847.5 / 106 TPM; vermiform appendix: 534.5 TPM; cerebellum: 405 TPM; testis: 360.5 TPM; temporal lobe: 97 TPM; hematopoietic stem cell: 84 TPM",urinary bladder; congenital anomaly of kidney and urinary tract; chronic obstructive pulmonary disease; schizophrenia; hypertension; dysautonomia; chronic lung disease; lung carcinoma; lung cancer; bronchus cancer; bronchial neoplasm; genetic disorder; peripheral arterial disease; amyotrophic lateral sclerosis; neuroinflammatory disorder; Dupuytren contracture; chronic bronchitis; frontotemporal dementia; nicotine dependence; myocardial ischemia; celiac disease; angina pectoris; coronary artery disease; female infertility; spondylolisthesis,Highly sodium permeable postsynaptic nicotinic acetylcholine receptors; Highly calcium permeable nicotinic acetylcholine receptors; Highly calcium permeable postsynaptic nicotinic acetylcholine receptors; Neutrophil degranulation,CHRNA1; CHRNA2; CHRNA3; CHRNA4; CHRNA5; CHRNA6; CHRNA7; CHRNA9; CHRNB2; CHRNB3; CHRNB4; CHRND; CYBB; HYKK; JAK2; NRAS; PLD1; SLC2A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR1A2,"Olfactory receptors, family 1",Cell membrane,,hepatocellular carcinoma;liver cancer,Expression and translocation of olfactory receptors,RTP2;RTP1;GNAL;GNGT1;REEP1;GNB1;REEP4;RTP3;RTP5;REEP6;REEP5;RTP4;REEP2;REEP3;GRK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR1F1,"Olfactory receptors, family 1",Cell membrane,cerebellar hemisphere:87TPM; cerebellum:77TPM; temporal lobe:47TPM; frontal lobe:37.5TPM; prefrontal cortex:30TPM,esophageal squamous cell carcinoma;breast cancer;Mayer-Rokitansky-Kuster-Hauser syndrome;nervous system disease;attention deficit hyperactivity disorder;Parkinson disease;diabetes mellitus;neoplasm,Expression and translocation of olfactory receptors,REEP1;RTP1;GNAL;RTP2;REEP2;REEP5;REEP6;GNB1;RTP5;RTP4;GNGT1;RTP3;REEP3;REEP4;ZNF205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR1Q1,"Olfactory receptors, family 1",Cell membrane,transformed skin fibroblast:22TPM; prefrontal cortex:4TPM; tonsil:2TPM; rectum:1TPM; testis:1TPM,Pancreatic pseudocyst;Abruptio Placentae;acute myeloid leukemia,Expression and translocation of olfactory receptors,RTP1;RTP2;GNGT1;REEP1;REEP4;REEP3;REEP2;RTP4;RTP3;REEP5;GNB1;RTP5;REEP6;GNAL;WDR38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR2T11,"Olfactory receptors, family 2",Cell membrane,,actinic keratosis;squamous cell carcinoma;psoriasis,Expression and translocation of olfactory receptors,H2BC9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR3A1,"Olfactory receptors, family 3",Cell membrane,testis:6TPM; frontal lobe:3.5TPM; placenta:3TPM; tonsil:3TPM; caudate nucleus:1TPM,colorectal adenocarcinoma;non-small cell lung carcinoma;continuous positive airway pressure;benign neoplasm;adolescent idiopathic scoliosis;diabetes mellitus,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,REEP1;REEP2;REEP3;RTP2;REEP4;RTP3;RTP1;REEP6;REEP5;RTP4;GNB1;RTP5;GNAL;GNGT1;CNGA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR3A3,"Olfactory receptors, family 3",Cell membrane,leukocyte:15TPM; tonsil:4TPM; putamen:2TPM; caudate nucleus:2TPM; endocervix:2TPM,gastric carcinoma;autism;Mental deterioration;diabetes mellitus;Anosmia,Expression and translocation of olfactory receptors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR51B2,"Olfactory receptors, family 51",Cell membrane,,spinal cord injury;inherited hemoglobinopathy;hepatocellular carcinoma,Expression and translocation of olfactory receptors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXTR,Family A G protein-coupled receptor | Vasopressin and oxytocin receptor | Short peptide receptor (family A GPCR) | Membrane receptor | Peptide receptor (family A GPCR),Cell membrane,EBV-transformed lymphocyte:3094TPM; breast:786TPM; nucleus accumbens:593TPM; substantia nigra:548.5TPM; temporal lobe:462TPM,hemorrhage;premature birth;Uterine Inertia;postpartum hemorrhage;neurodegenerative disease;autism spectrum disorder;alcohol dependence;infertility;Hepatic fibrosis;schizophrenia;placenta praevia;Prader-Willi syndrome;ulcerative colitis;temporomandibular joint disorder;postinflammatory pulmonary fibrosis,G alpha (q) signalling events;Vasopressin-like receptors,OXT;AVP;NPS;CCK;PTGFR;GNAQ;NTS;GNRH2;GNRH1;TRH;HCRT;GRM5;GRK2;EDN1;GNA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAAR1,Monoamine receptor | Trace amine receptor | Membrane receptor | Family A G protein-coupled receptor | Small molecule receptor (family A GPCR),"Endomembrane system, Endoplasmic reticulum membrane, Cell membrane",duodenum:12TPM; fallopian tube:12TPM; stomach:1TPM; kidney:1TPM; blood:1TPM,schizophrenia;neoplasm;cancer;Parkinson disease;myeloid sarcoma;major depressive disorder;generalized anxiety disorder;posterior cortical atrophy;non-small cell lung carcinoma;breast cancer;melanoma;psychosis;cystic fibrosis;infection;ovarian cancer,Amine ligand-binding receptors;G alpha (s) signalling events,GIPR;TSHR;CALCRL;GCG;GNG12;GNB4;GNB2;GNB3;SCT;GNB1;GNB5;GNAS;GPR150;GNG7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VN1R1,Vomeronasal receptors,"Cell membrane, Vesicles, Nucleoplasm",cerebellar hemisphere:454TPM; cerebellum:394TPM; skeletal muscle tissue:254TPM; hematopoietic multipotent progenitor cell:203TPM; pituitary gland:172TPM,Hypercholesterolemia;multiple system atrophy;Parkinson disease;Anxiety;diabetes mellitus;Obesity;prostate adenocarcinoma;supranuclear palsy;Leber congenital amaurosis;prostate cancer,,ZNF773;ZNF772;FPR3;FPR1;TAAR5;FPR2;OMP;RTP2;RHO;TAAR2;ODR4;OR7D4;TAAR8;DAPK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not detected,Not detected,,,,,,,,,,,,,,NA,NA,,,,,,Cluster 59: Leukemia - T-cell receptor,Cluster 106: Spermatogonia - Spermatogonial differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer enriched,Detected in single,4,Gastric cancer: 1.5,"Adipose subcutaneous - Adipocytes (Subcutaneous), Kidney - Proximal tubular cells",Region enriched,Detected in many,6,hypothalamus: 179.4,Group enriched,Detected in some,892,basal ganglia: 866.7;hypothalamus: 2049.5,HPA071892,Supported,Supported,,,Secreted to blood,Hormone,NA,NA,1500000,230000,Cluster 43: Non-specific - Transcription & Translation,Cluster 36: Brain & Liver - Signaling,Cluster 56: Hypothalamus - Neuropeptide signaling,Cluster 18: Liver cancer - Metabolism,Cluster 109: Neurons - Neuronal signaling,1,,,HPA071892:,,,unprognostic (1.78e-1),,,,,,,,,unprognostic (1.96e-1),unprognostic (5.68e-2),unprognostic (8.30e-2),unprognostic (1.31e-1),,,,,,,,,,,,,unprognostic (7.70e-2),unprognostic (3.74e-1)